title,company,location,minsalary,maxsalary,link
机械工程师,上海昊明机械有限公司,上海-嘉定区,8000.0,10000.0,http://jobs.51job.com/shanghai-jdq/76403937.html?s=01&t=5
机械工程师,无锡先导智能装备股份有限公司,异地招聘,6000.0,18000.0,http://jobs.51job.com/wuxi/86134647.html?s=01&t=0
Mech. Engineer 机械工程师（物流分拣）,瑞仕格Swisslog,上海,,,http://jobs.51job.com/shanghai/94109212.html?s=01&t=0
机械工程师 （技术方向或者业务方向）,上海凯融信息科技有限公司,上海-普陀区,6000.0,12000.0,http://jobs.51job.com/shanghai-ptq/91762730.html?s=01&t=0
机械工程师,道美科技（上海）有限公司,上海-浦东新区,4000.0,15000.0,http://jobs.51job.com/shanghai-pdxq/78640030.html?s=01&t=0
机械工程师,西刻标识设备（上海）有限公司,上海-浦东新区,6000.0,10000.0,http://jobs.51job.com/shanghai-pdxq/66387775.html?s=01&t=0
Mechanical Engineer机械工程师,艾沛克斯（上海）企业管理有限公司,上海-浦东新区,2500.0,3333.33,http://jobs.51job.com/shanghai-pdxq/98008625.html?s=01&t=0
机械工程师(外贸项目支持）,上海精星仓储设备工程有限公司,上海-松江区,5000.0,8000.0,http://jobs.51job.com/shanghai-sjq/90173118.html?s=01&t=0
机械工程师,上海复志信息技术有限公司,上海-杨浦区,8000.0,15000.0,http://jobs.51job.com/shanghai-ypq/98027317.html?s=01&t=0
机械工程师 Mechanical Engineer,上海普利森配料系统有限公司,上海-闵行区,8000.0,10000.0,http://jobs.51job.com/shanghai-mhq/80748815.html?s=01&t=0
机械工程师,上海皓越电炉技术有限公司,异地招聘,6000.0,8000.0,http://jobs.51job.com/liuan/98024352.html?s=01&t=0
BIW白车身机械工程师Mechanical Engineer,库卡柔性系统（上海）有限公司,上海-松江区,,,http://jobs.51job.com/shanghai-sjq/98024583.html?s=01&t=0
机械工程师,上海卡勒幅磁共振技术有限公司,上海-松江区,6000.0,8000.0,http://jobs.51job.com/shanghai-sjq/98023939.html?s=01&t=0
机械工程师,上海哈晟自动化工程有限公司,上海-奉贤区,6000.0,8000.0,http://jobs.51job.com/shanghai-fxq/83833188.html?s=01&t=0
机械工程师（电动工具）,锐奇控股股份有限公司,上海,7000.0,10000.0,http://jobs.51job.com/shanghai/98002680.html?s=01&t=0
机械工程师、燃烧产品研发工程师,上海岱鼎工业设备有限公司,上海-浦东新区,10000.0,15000.0,http://jobs.51job.com/shanghai-pdxq/53553334.html?s=01&t=0
机械工程师（2018年应届）,上海电气自动化设计研究所有限公司,上海,3000.0,4500.0,http://jobs.51job.com/shanghai/95339676.html?s=01&t=0
机械工程师,上海市东方海事工程技术有限公司,上海-黄浦区,6000.0,8000.0,http://jobs.51job.com/shanghai-hpq/48970541.html?s=01&t=0
叉车维修工程师/机械工程师,上海则轶实业有限公司,上海-松江区,3500.0,5000.0,http://jobs.51job.com/shanghai-sjq/85306158.html?s=01&t=0
机械工程师,豪科（上海）仪表科技有限公司,上海-浦东新区,6000.0,8000.0,http://jobs.51job.com/shanghai-pdxq/97662399.html?s=01&t=0
机械工程师,上海富科思分析仪器有限公司,上海-嘉定区,6000.0,8000.0,http://jobs.51job.com/shanghai-jdq/75068592.html?s=01&t=0
机械工程师,深圳市铁匠科技有限公司,异地招聘,15000.0,20000.0,http://jobs.51job.com/shenzhen/98019664.html?s=01&t=0
工艺/设备机械工程师,上海穆特环保科技有限公司,上海-虹口区,6000.0,8000.0,http://jobs.51job.com/shanghai-hkq/72927547.html?s=01&t=0
机械工程师,上海达盾自动化科技有限公司,上海-浦东新区,10000.0,20000.0,http://jobs.51job.com/shanghai-pdxq/47450713.html?s=01&t=0
机械工程师助理,上海抱石机电工程有限公司,上海-闵行区,4500.0,6000.0,http://jobs.51job.com/shanghai-mhq/97697840.html?s=01&t=0
机械工程师,泰尔盾（上海）标识技术有限公司,上海-浦东新区,8000.0,10000.0,http://jobs.51job.com/shanghai-pdxq/57799063.html?s=01&t=0
机械工程师,阿特拉斯·科普柯（上海）贸易有限公司-工业技术部,上海-松江区,,,http://jobs.51job.com/shanghai-sjq/98016500.html?s=01&t=0
机械工程师,长园和鹰智能科技有限公司,上海-闵行区,6000.0,12000.0,http://jobs.51job.com/shanghai-mhq/90876213.html?s=01&t=0
汽车机械工程师 应届生亦可180122w,上海游瞿信息科技有限公司,上海,6000.0,8000.0,http://jobs.51job.com/shanghai/98013936.html?s=01&t=0
燃料电池高级机械工程师,上海新源动力有限公司,上海-嘉定区,10000.0,25000.0,http://jobs.51job.com/shanghai-jdq/92217549.html?s=01&t=0
