title	company	area	minsalary	maxsalary	hyperlink	welfare	details	loc
机械工程师	上海凯研机械设备有限公司	上海-松江区	6000	8000	http://jobs.51job.com/shanghai-sjq/98404750.html?s=01=5	"五险一金
员工旅游
通讯补贴
专业培训
年终奖金
绩效奖金
定期体检"	机械工程师任职资格：1.本科以上机械设计类专业毕业， 必须有3年以上机械设计专业工作经验，英文四级以上能看懂简单的英文技术资料。2.熟练使用Autocad、pro-e、UG等绘图软件；较强的沟通及空间想象能力，思路清晰，对方案设计有准确理解和表达能力. 3. 协助上级领导做好新产品研发工作；协助部门负责人做编制研发项目计划。参与各项技术研发讨论认证会，协助部门负责人确定大体的研发设计方向或制定设计方案框架图。完成公司新品机械设计、工艺及改进工作，并完成相关程序文件的填报工作。 负责主管产品机械设计和工艺文件等的编写与归档工作。对本项目组所需的技术需求提供及相应的技术解决方案。4.工作积极主动，认真细致，有良好的素质与团队精神，责任心强，能吃苦耐劳，能够积极完成上级交给的其他任务；	车墩镇联营路615号38幢
机械工程师	易拓威（上海）机器人科技有限公司	上海-浦东新区	12500	16666.67	http://jobs.51job.com/shanghai-pdxq/69944871.html?s=01=0	"五险一金
员工旅游
交通补贴
年终奖金
绩效奖金
出国机会
专业培训
通讯补贴
餐饮补贴"	"工作职责 Job Description：1、非标结构设计、AGV小车相关项目及方案的制定；Resposible for the design of Non-standard structure design、agv program design and plan;2、独立负责项目图纸绘制、清单明细编制、3D拆图工作、编制工艺文件、使用说明书；Resposible for the preparation of the project drawings, detailed list, 3D dismantling map work, the preparation of technical documents and the use of manual;3、协助负责生产过程、调试过程及安装过程中的技术指导，项目图纸设计的修改，并出具修改方案。参与项目评审，提出节点计划意见；To assist in the process of production, commissioning and installation process.Resposible for the technical instruction, the design of the project drawings, and issue a revised plan. Participate in project evaluation, and put forward the opinion of the node;4、根据订单及技术协议内容进行非标设备设计；Design of non-standard equipment according to the order and technical agreement;5、根据设备方案具体结构细化工作；To refine work according to the specific structure of the equipment plan;6、参与项目设备安装、调试、验收等相关工作。Participate in project equipment installation, commissioning, acceptance and other related work.任职要求 Job Qualification：1、机械、机电等专业本科及以上学历；Bachelor degree of Mechanical and electrical;2、5年以上相关工作经验，优秀毕业生亦可；More than 5 years work experience;3、良好的英语听说读写能力；Good spoken and written English;4、有责任心，有一定的执行能力。Responsible and have good ability to perform.工作地点：上海市浦东新区川沙路6999号川沙精公园"	川沙路6999号精工园A区9号
机械工程师	上海鼎经自动化科技有限公司	上海-宝山区	8000	10000	http://jobs.51job.com/shanghai-bsq/92861029.html?s=01=0	"五险一金
年终奖金"	岗位职责??? ?1、非标机械设备的机械结构、机械部件的设计、材料选用；??? ?2、与自动化工程师配合完成非标设备和系统的设计；??? 3、负责设备的制造和装配指导以及客户联络。??? 任职资格??? 1、机械设计制造相关专业，本科及以上学历；??? 2、2年以上相关设计工作经历，有非标机电设备设计经验者优先；??? 3、熟悉机械原理；熟悉液压系统和气动系统；熟悉机械加工工艺；精通计算机辅助设计；??? 4、工作认真负责，严谨细致，有良好的创新精神和团队精神。	宝山区友谊路1588弄8号楼4楼
机械工程师	上海安美特铝业有限公司	上海-宝山区	8000	10000	http://jobs.51job.com/shanghai-bsq/93747305.html?s=01=0	"五险一金
餐饮补贴
专业培训
免费班车
年终奖金"	主要职责：1. 实施新产品的机械设备研发与设计，完成机械设计过程中的图纸与技术文件；2. 负责解决机械制造过程中的技术问题、控制设备制造过程及设备质量；3. 指导生产过程中的技术操作，协助解决生产过程中的机械技术问题；4. 根据产品或其他部门的要求进行机械设计修改和改进；5. 审核并检查设备的安装及规范使用，确保设备符合生产要求；6. 为与生产设备有关的各种比较复杂和不寻常的问题提供技术支持；7. 培训所有维修人员正确地维护并操作已有的设备和新购设备；8. 完成上级交办的其他各项工作。任职资格：教育背景：◆电气、机械专业全日制本科及以上学历。经    验:◆3年以上独立完成非标设备的设计经验。技能技巧:◆具有良好的机械和工艺知识；◆熟练使用AutoCAD软件；态    度:◆认真负责、敬业，学习能力强；◆有较强的责任心，能吃苦耐劳，富有团队精神。待遇：年薪+研发奖金公司位于宝山城市工业园区，班车路线如下，投简历者请考虑上班路线问题。班车路线：中山北路和田路――汶水路――共富新村――公司公司附近交通：轨道交通7号线，11号线，宝山85路等	宝山城市工业园区振园路258号
机械工程师	上海增欣机电科技股份有限公司	上海-嘉定区	6000	8000	http://jobs.51job.com/shanghai-jdq/58992885.html?s=01=0		职位描述：1.协助技术部经理，完成产品研发项目；2.按进度完成工作计划，计时记录各种工作要素，编制齐全的产品文件；3.严格遵循新产品开发流程，保质保量完成试样；4.协助技术部经理会同生产部处理试生产中的设计问题；5.指导产品的制作，并对性能指标进行验证；6.协助质量、销售部门解决客户技术问题，协助销售部搞好客户关系；岗位要求：1.机械设计或相关专业本科以上学历，有两年以上从事技术支持服务经验，有产品相关经验者优先考虑2.有扎实的理论基础和技术工作经验3.能独立解决产品使用相关问题4.有较强的应变能力，有责任心，对人热情，良好的团队合作精神5.懂液压机电优先	上海市嘉定区外冈镇恒飞路165号
机械工程师	上海申瑞石油设备有限公司	上海-浦东新区	5000	8000	http://jobs.51job.com/shanghai-pdxq/93486914.html?s=01=0	"五险一金
餐饮补贴
专业培训
出国机会
绩效奖金
年终奖金"	工作内容1. 技术文件收集整理并编写；2. 根据客户要求和相关产品的国际标准，用绘图软件绘制设计图纸3. 加工现场指导安装，监督检查产品质量要求1.诚实守信，工作踏实，认真负责，勤学上进， 2.具有良好的沟通能力和团队合作精神； 3.有良好的英语读写能力； 4.熟悉装配、成橇、焊接等重工业机械设计规范和生产工艺，掌握通用机械设计手册中的基本内容5. 熟练使用autocad和solidworks6.机械专业本科或以上学历，两年以上石油机械相关工作经验及从事压力容器及管道设计者优先考虑；	曹路镇宝龙广场联排别墅区31号
机械工程师	上海晗益流体设备有限公司	上海-普陀区	8000	15000	http://jobs.51job.com/shanghai-ptq/95379182.html?s=01=0	"五险一金
员工旅游
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检"	主要职责：负责气体螺杆压缩机组的机械设计，包括：1、负责压缩机组的图纸设计。2、负责压缩机组标准和规范的编制。3、参与承接合同的项目管理。4、参与项目采购机械类设备的供应商审核与谈判。5、为销售与技术团队提供技术支持。资格：1、 机械类相关专业，本科及以上学历2、 2年以上气体压缩机的系统设计经验3、 精通Solidworks、Autocad等绘图软件4、 熟悉压缩机、泵、压力容器等国内外标准及相关产品知识5、 较强的英语听、说、读、写能力6、 较强的办公软件操作能力	光复西路2899号赢华国际广场2号709室(地铁2号线威宁路站）
自动化机械工程师	上海战旗电子有限公司	上海-虹口区	8000	15000	http://jobs.51job.com/shanghai-hkq/88518296.html?s=01=0	"五险一金
年终奖金
员工旅游"	1.对项目需求进行分析，绘制设计方案，给出成本预算。 2.独立完成结构设计。3.根据产品的要求，编制BOM表，并进行采购进度的跟踪。4.应对生产制造过程中出现的问题，提出合理的解决方案，编制相关技术文档。职位要求:1.机械设计制造及其自动化、机械相关专业，热爱设计工作。 2.三年或以上非标自动化机械设计经验，有过独立整机设计经验。 3.熟练SolidWorks、AutoCAD等制图软件； 4.熟悉液压气动元件、轴承、滚珠丝杠、滑动元件、伺服电机等。	四川北路
机械工程师	上海汉尔得自动化设备有限公司	上海	6000	8000	http://jobs.51job.com/shanghai/99041017.html?s=01=0	"五险一金
员工旅游
餐饮补贴
绩效奖金
年终奖金"	岗位职责 1、产品机械结构、机械部件的设计、材料选用；2、产品机械结构的仿真模拟；3、与电路工程师配合完成产品设计；4、整理技术文献编写技术文档。 任职资格 1、机械制造专业，大科及以上学历；英语良好；2、2年以上相关设计工作经历；3、熟悉机械原理；熟悉液压系统和气压系统；熟悉机械加工工艺；精通计算机辅助设计；4、工作认真负责，严谨细致，有良好的创新精神和团队精神。	上海闵行区颛桥镇瓶北路150弄149号
高级机械工程师	珊口（上海）智能科技有限公司	上海-浦东新区	20000	40000	http://jobs.51job.com/shanghai-pdxq/99039487.html?s=01=0		岗位职责：1、移动机器人系统机械方案的可行性分析，关键指标评估；2、移动机器人系统内部结构设计、外观造型设计等；3、负责机器人组装与调试。任职资格：1、本科以上学历，机电一体化、机械等相关专业，熟悉机械设计理论与分析方法；有良好的数学基础；2、精通机械传动，熟悉伺服马达、减速机、连接件的选型；有AGV、服务机器人底盘设计经验优先；3、精通Pro/E，Solidworks等常用的机械设计软件；熟悉有限元分析、力学分析，有结构仿真经验优先；4、熟悉产品的加工工艺，有外协加工经验；5、熟悉工业造型设计，有良好的审美观；	祖冲之路1505号
